"npp","campagne","a","sfgui","xl","yl","croissance_5ans","ser_86","greco","ess","age13","age_1","zp","c13","reserutile","rmoy","tmoy","txmoy","tnmoy","u_tauxguit","u_txguiabiet","u_txguiaustr","u_txguialbum","wac","poids","is_gui","ssp_gui","poids_models","poids_models_tweak","sfgui_factor","npp_factor","wc2.1_30s_bio_3","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_18","troph_r","hydr_r","dens_tiges","div_rg1","div_rg1_factor","ess_factor"
"14-43-225-1-183T",2014,13,0,692200,2043600,15.119600109756,"G22","G",61,NA,127.5,1004,1.24,68.25,1056.3,8.65,13.4,3.9,1,"1 ","X ","X ",14.144657589527,1,"Sain","abietis",14.144657589527,30.2253837638843,"0","14-43-225-1-183T",34.9372406005859,-2.5,23.8999996185303,219,2.6822,3.0477,293.856108786742,1,"1","61"
"14-43-225-1-183T",2014,18,0,692200,2043600,16.669599339366,"G22","G",61,NA,127.5,1004,1.39,68.25,1056.3,8.65,13.4,3.9,1,"1 ","X ","X ",14.1440295273118,1,"Sain","abietis",14.1440295273118,30.2240416726133,"0","14-43-225-1-183T",34.9372406005859,-2.5,23.8999996185303,219,2.6822,3.0477,293.856108786742,1,"1","61"
"14-08-210-1-028T",2014,5,1,802200,2523600,4.99999988824129,"C20","C",19,NA,114,188,2.15,157.5,979.1,10.5,15.1,5.9,1,"X ","X ","6 ",14.1397477716596,0.25,"Parasité","album",3.5349369429149,7.55372302259511,"1","14-08-210-1-028T",35.6481475830078,-0.600000023841858,23.3999996185303,223,5.12008,3.35812,223.137156021357,3,"3","19"
"14-73-278-1-160T",2014,5,0,874200,2059600,5.53165003657341,"H10","H",61,NA,101,1121,1.22,26.5,1737.5,7.95,12.3,3.6,1,"1 ","X ","X ",14.1447359220497,1,"Sain","abietis",14.1447359220497,30.2255511507966,"0","14-73-278-1-160T",33.168643951416,-3.70000004768372,25.3000011444092,278,4.48183,4.59842,1515.46458922593,2,"2","61"
"14-67-270-1-054T",2014,7,0,956200,2385600,15.590799972415,"D11","D",61,NA,57.5,563,1.22,21,1410.3,9.15,13.4,4.9,1,"1 ","X ","X ",14.1447359220497,0.25,"Sain","abietis",3.53618398051242,7.55638778769915,"0","14-67-270-1-054T",31.4128932952881,-2.70000004768372,24.3000011444092,253,2.22001,3.44993,245.162106498689,1,"1","61"
"14-67-270-1-054T",2014,13,0,956200,2385600,12.5377001240849,"D11","D",61,NA,57.5,563,1.06,21,1410.3,9.15,13.4,4.9,1,"1 ","X ","X ",39.2837136228653,0.25,"Sain","abietis",9.82092840571632,20.9861092855437,"0","14-67-270-1-054T",31.4128932952881,-2.70000004768372,24.3000011444092,253,2.22001,3.44993,245.162106498689,1,"1","61"
"14-67-270-1-054T",2014,1,0,956200,2385600,15.1528995484114,"D11","D",61,NA,57.5,563,1.18,21,1410.3,9.15,13.4,4.9,1,"1 ","X ","X ",14.1448887689463,0.25,"Sain","abietis",3.53622219223658,7.55646944142739,"0","14-67-270-1-054T",31.4128932952881,-2.70000004768372,24.3000011444092,253,2.22001,3.44993,245.162106498689,1,"1","61"
"14-67-270-1-054T",2014,3,0,956200,2385600,9.10000037401915,"D11","D",61,NA,57.5,563,0.72,21,1410.3,9.15,13.4,4.9,1,"1 ","X ","X ",39.2911471714465,0.25,"Sain","abietis",9.82278679286162,20.9900804290155,"0","14-67-270-1-054T",31.4128932952881,-2.70000004768372,24.3000011444092,253,2.22001,3.44993,245.162106498689,1,"1","61"
"14-73-278-1-160T",2014,23,0,874200,2059600,5.49999997019768,"H10","H",61,92,101,1121,1.66,26.5,1737.5,7.95,12.3,3.6,1,"1 ","X ","X ",14.1427186569079,1,"Sain","abietis",14.1427186569079,30.2212405046973,"0","14-73-278-1-160T",33.168643951416,-3.70000004768372,25.3000011444092,278,4.48183,4.59842,1515.46458922593,2,"2","61"
"14-67-270-1-054T",2014,14,0,956200,2385600,15.3721002861857,"D11","D",61,NA,57.5,563,1.2,21,1410.3,9.15,13.4,4.9,1,"1 ","X ","X ",14.1448129817208,0.25,"Sain","abietis",3.5362032454302,7.55642895444563,"0","14-67-270-1-054T",31.4128932952881,-2.70000004768372,24.3000011444092,253,2.22001,3.44993,245.162106498689,1,"1","61"
"14-67-270-1-054T",2014,6,1,956200,2385600,15.6999994069338,"D11","D",61,53,57.5,563,1.23,21,1410.3,9.15,13.4,4.9,1,"1 ","X ","X ",14.1446969148922,0.25,"Parasité","abietis",3.53617422872305,7.55636694933143,"1","14-67-270-1-054T",31.4128932952881,-2.70000004768372,24.3000011444092,253,2.22001,3.44993,245.162106498689,1,"1","61"
"14-67-270-1-054T",2014,8,0,956200,2385600,15.3721002861857,"D11","D",61,NA,57.5,563,1.2,21,1410.3,9.15,13.4,4.9,1,"1 ","X ","X ",14.1448129817208,0.25,"Sain","abietis",3.5362032454302,7.55642895444563,"0","14-67-270-1-054T",31.4128932952881,-2.70000004768372,24.3000011444092,253,2.22001,3.44993,245.162106498689,1,"1","61"
"14-73-278-1-160T",2014,11,0,874200,2059600,6.48701982572675,"H10","H",61,NA,101,1121,1.47,26.5,1737.5,7.95,12.3,3.6,1,"1 ","X ","X ",14.1436652924457,1,"Sain","abietis",14.1436652924457,30.2232633477554,"0","14-73-278-1-160T",33.168643951416,-3.70000004768372,25.3000011444092,278,4.48183,4.59842,1515.46458922593,2,"2","61"
